Timestamp,Lane1_Count,Lane2_Count,Ambulance_Detected,Green_Time_L1,Green_Time_L2
08:00:00,3,2,0,11,9
08:00:05,5,3,0,15,11
08:00:10,4,4,0,13,13
08:00:15,6,5,0,17,15
08:00:20,8,4,0,21,13
08:00:25,7,6,0,19,17
08:00:30,9,5,0,23,15
08:00:35,10,7,1,25,19
08:00:40,15,8,1,35,21
08:00:45,12,9,0,29,23
08:00:50,11,6,0,27,17
08:00:55,8,7,0,21,19
09:00:00,6,5,0,17,15
09:00:05,7,8,0,19,21
09:00:10,9,6,0,23,17
09:00:15,10,10,0,25,25
09:00:20,8,7,0,21,19
09:00:25,12,9,0,29,23
09:00:30,14,8,1,33,21
09:00:35,11,11,0,27,27
09:00:40,9,6,0,23,17
09:00:45,7,5,0,19,15
09:00:50,6,4,0,17,13
09:00:55,5,3,0,15,11
10:00:00,8,6,0,21,17
10:00:05,10,7,0,25,19
10:00:10,12,9,0,29,23
10:00:15,15,10,1,35,25
10:00:20,13,8,0,31,21
10:00:25,11,7,0,27,19
10:00:30,9,6,0,23,17
10:00:35,7,5,0,19,15
10:00:40,6,4,0,17,13
10:00:45,5,6,0,15,17
10:00:50,4,3,0,13,11
10:00:55,3,2,0,11,9
11:00:00,5,4,0,15,13
11:00:05,7,6,0,19,17
11:00:10,9,8,0,23,21
11:00:15,11,9,0,27,23
11:00:20,10,7,0,25,19
11:00:25,8,6,0,21,17
11:00:30,6,5,0,17,15
11:00:35,7,7,0,19,19
11:00:40,9,6,0,23,17
11:00:45,8,5,0,21,15
11:00:50,6,4,0,17,13
11:00:55,5,3,0,15,11
